caen	sampa	htk	example
dZ'	dZ'	dZ_pal	
dz'	dz'	dz_pal	
tS'	tS'	tS_pal	
ts'	ts'	ts_pal	
Aa	Aa	Aa	
Ea	Ea	Ea	
Ee	Ee	Ee	
Ie	Ie	Ie	
Ii	Ii	Ii	
Oo	Oo	Oo	
Uo	Uo	Uo	
Uu	Uu	Uu	
aA	aA	aA	
aa	aa	aa	
dZ	dZ	dZ	
dz	dz	dz	
eA	eA	eA	
eE	eE	eE	
ea	ea	ea	
ee	ee	ee	
iE	iE	iE	
iI	iI	iI	
ie	ie	ie	
ii	ii	ii	
oO	oO	oO	
oo	oo	oo	
tS	tS	tS	
ts	ts	ts	
uO	uO	uO	
uU	uU	uU	
uo	uo	uo	
uu	uu	uu	
L'	L'	L_pal	
M'	M'	M_pal	
N'	N'	N_pal	
R'	R'	R_pal	
S'	S'	S_pal	
Z'	Z'	Z_pal	
b'	b'	b_pal	
d'	d'	d_pal	
f'	f'	f_pal	
g'	g'	g_pal	
h'	h'	h_pal	
j'	j'	j_pal	
k'	k'	k_pal	
l'	l'	l_pal	
m'	m'	m_pal	
n'	n'	n_pal	
p'	p'	p_pal	
r'	r'	r_pal	
s'	s'	s_pal	
t'	t'	t_pal	
v'	v'	v_pal	
x'	x'	x_pal	
z'	z'	z_pal	
A	A	A	
E	E	E	
I	I	I	
J	J	J	
L	L	L	
M	M	M	
N	N	N	
O	O	O	
R	R	R	
S	S	S	
U	U	U	
W	W	W	
Z	Z	Z	
a	a	a	
b	b	b	
d	d	d	
e	e	e	
f	f	f	
g	g	g	
h	h	h	
i	i	i	
j	j	j	
k	k	k	
l	l	l	
m	m	m	
n	n	n	
o	o	o	
p	p	p	
r	r	r	
s	s	s	
t	t	t	
u	u	u	
v	v	v	
w	w	w	
x	x	x	
z	z	z	
sil	sil	sil	
